index,SEASON,DATE_TIME,TEAM_HOME,TEAM_AWAY,FTG_HOME,FTG_AWAY,HTG_HOME,HTG_AWAY
166,2017/2017,12/8/2017,PERSELA LAMONGAN,PSM MAKASSAR,0.0,1.0,0.0,0.0
167,2017/2017,13/8/2017,PERSERU SERUI,BHAYANGKARA FC,1.0,1.0,0.0,1.0
168,2017/2017,13/8/2017,BORNEO FC,PERSIKABO 1973,1.0,0.0,0.0,0.0
169,2017/2017,13/8/2017,BALI UNITED,MADURA UNITED,5.0,2.0,3.0,1.0
170,2017/2017,14/8/2017,GRESIK UNITED,PERSIPURA JAYAPURA,0.0,4.0,0.0,1.0
171,2017/2017,15/8/2017,PERSIJA JAKARTA,PSM MAKASSAR,2.0,2.0,0.0,2.0
172,2017/2017,18/8/2017,AREMA FC,PERSIBA BALIKPAPAN,3.0,0.0,2.0,0.0
173,2017/2017,20/8/2017,BHAYANGKARA FC,SRIWIJAYA FC,2.0,1.0,1.0,1.0
174,2017/2017,20/8/2017,PERSIB BANDUNG,GRESIK UNITED,6.0,0.0,2.0,0.0
175,2017/2017,21/8/2017,PERSELA LAMONGAN,MITRA KUKAR,2.0,3.0,1.0,0.0
176,2017/2017,21/8/2017,MADURA UNITED,PERSIJA JAKARTA,1.0,1.0,0.0,0.0
177,2017/2017,21/8/2017,BORNEO FC,PERSIPURA JAYAPURA,1.0,1.0,0.0,0.0
178,2017/2017,22/8/2017,PERSIBA BALIKPAPAN,PERSIKABO 1973,1.0,0.0,0.0,0.0
179,2017/2017,23/8/2017,PS BARITO PUTERA,AREMA FC,1.0,2.0,1.0,0.0
180,2017/2017,23/8/2017,PSM MAKASSAR,PERSERU SERUI,2.0,0.0,1.0,0.0
181,2017/2017,24/8/2017,SEMEN PADANG,BALI UNITED,1.0,3.0,1.0,0.0
182,2017/2017,26/8/2017,GRESIK UNITED,BHAYANGKARA FC,0.0,5.0,0.0,3.0
183,2017/2017,27/8/2017,BALI UNITED,MITRA KUKAR,6.0,1.0,3.0,0.0
184,2017/2017,27/8/2017,PERSIJA JAKARTA,PERSELA LAMONGAN,2.0,0.0,1.0,0.0
185,2017/2017,28/8/2017,PERSERU SERUI,MADURA UNITED,2.0,0.0,1.0,0.0
186,2017/2017,28/8/2017,PERSIPURA JAYAPURA,PERSIB BANDUNG,0.0,0.0,0.0,0.0
187,2017/2017,29/8/2017,SRIWIJAYA FC,PERSIBA BALIKPAPAN,1.0,0.0,0.0,0.0
188,2017/2017,30/8/2017,AREMA FC,PSM MAKASSAR,3.0,3.0,0.0,3.0
189,2017/2017,30/8/2017,PERSIKABO 1973,PS BARITO PUTERA,1.0,1.0,1.0,0.0
190,2017/2017,31/8/2017,SEMEN PADANG,BORNEO FC,1.0,1.0,0.0,0.0
191,2017/2017,3/9/2017,PERSERU SERUI,PS BARITO PUTERA,0.0,1.0,0.0,0.0
192,2017/2017,3/9/2017,MITRA KUKAR,MADURA UNITED,2.0,1.0,0.0,1.0
193,2017/2017,3/9/2017,BALI UNITED,PERSELA LAMONGAN,5.0,1.0,0.0,0.0
194,2017/2017,3/9/2017,PERSIKABO 1973,BHAYANGKARA FC,0.0,1.0,0.0,1.0
195,2017/2017,4/9/2017,PERSIPURA JAYAPURA,SEMEN PADANG,3.0,0.0,1.0,0.0
196,2017/2017,4/9/2017,GRESIK UNITED,BORNEO FC,0.0,1.0,0.0,1.0
197,2017/2017,4/9/2017,SRIWIJAYA FC,PERSIB BANDUNG,1.0,4.0,0.0,2.0
198,2017/2017,8/9/2017,PERSELA LAMONGAN,PERSERU SERUI,1.0,0.0,0.0,0.0
199,2017/2017,8/9/2017,MITRA KUKAR,PERSIJA JAKARTA,1.0,2.0,1.0,0.0
200,2017/2017,9/9/2017,PERSIB BANDUNG,SEMEN PADANG,2.0,2.0,1.0,1.0
201,2017/2017,9/9/2017,PERSIBA BALIKPAPAN,GRESIK UNITED,3.0,0.0,2.0,0.0
202,2017/2017,9/9/2017,BHAYANGKARA FC,PERSIPURA JAYAPURA,2.0,1.0,0.0,0.0
203,2017/2017,10/9/2017,PS BARITO PUTERA,SRIWIJAYA FC,2.0,0.0,2.0,0.0
204,2017/2017,10/9/2017,PSM MAKASSAR,PERSIKABO 1973,4.0,1.0,2.0,0.0
205,2017/2017,10/9/2017,MADURA UNITED,AREMA FC,2.0,0.0,0.0,0.0
206,2017/2017,11/9/2017,BORNEO FC,BALI UNITED,0.0,0.0,0.0,0.0
207,2017/2017,14/9/2017,PERSERU SERUI,MITRA KUKAR,2.0,1.0,0.0,0.0
208,2017/2017,15/9/2017,SEMEN PADANG,BHAYANGKARA FC,1.0,2.0,1.0,0.0
209,2017/2017,15/9/2017,BALI UNITED,PERSIJA JAKARTA,2.0,1.0,2.0,0.0
210,2017/2017,16/9/2017,AREMA FC,PERSELA LAMONGAN,2.0,0.0,1.0,0.0
211,2017/2017,17/9/2017,PERSIPURA JAYAPURA,PERSIBA BALIKPAPAN,4.0,2.0,2.0,0.0
212,2017/2017,17/9/2017,GRESIK UNITED,PS BARITO PUTERA,2.0,1.0,2.0,1.0
213,2017/2017,17/9/2017,SRIWIJAYA FC,PSM MAKASSAR,3.0,4.0,1.0,0.0
214,2017/2017,18/9/2017,PERSIKABO 1973,MADURA UNITED,2.0,3.0,1.0,2.0
215,2017/2017,19/9/2017,PERSIJA JAKARTA,PERSERU SERUI,1.0,0.0,1.0,0.0
216,2017/2017,20/9/2017,BHAYANGKARA FC,BORNEO FC,2.0,1.0,0.0,0.0
217,2017/2017,20/9/2017,MITRA KUKAR,AREMA FC,0.0,3.0,0.0,1.0
218,2017/2017,21/9/2017,PERSIB BANDUNG,BALI UNITED,0.0,0.0,0.0,0.0
219,2017/2017,21/9/2017,PS BARITO PUTERA,PERSIPURA JAYAPURA,1.0,1.0,0.0,1.0
220,2017/2017,21/9/2017,PERSIBA BALIKPAPAN,SEMEN PADANG,1.0,0.0,1.0,0.0
221,2017/2017,22/9/2017,PERSELA LAMONGAN,PERSIKABO 1973,1.0,0.0,1.0,0.0
222,2017/2017,22/9/2017,MADURA UNITED,SRIWIJAYA FC,3.0,0.0,1.0,0.0
223,2017/2017,22/9/2017,PSM MAKASSAR,GRESIK UNITED,5.0,1.0,3.0,0.0
224,2017/2017,24/9/2017,PERSIB BANDUNG,BHAYANGKARA FC,1.0,1.0,0.0,1.0
225,2017/2017,24/9/2017,AREMA FC,PERSIJA JAKARTA,1.0,1.0,0.0,1.0
226,2017/2017,25/9/2017,BORNEO FC,PERSIBA BALIKPAPAN,1.0,0.0,0.0,0.0
227,2017/2017,25/9/2017,BALI UNITED,PERSERU SERUI,2.0,0.0,1.0,0.0
228,2017/2017,25/9/2017,SEMEN PADANG,PS BARITO PUTERA,1.0,2.0,1.0,0.0
229,2017/2017,26/9/2017,SRIWIJAYA FC,PERSELA LAMONGAN,2.0,0.0,0.0,0.0
230,2017/2017,26/9/2017,GRESIK UNITED,MADURA UNITED,0.0,3.0,0.0,1.0
231,2017/2017,26/9/2017,PERSIKABO 1973,MITRA KUKAR,2.0,1.0,2.0,0.0
232,2017/2017,27/9/2017,PERSIPURA JAYAPURA,PSM MAKASSAR,0.0,0.0,0.0,0.0
233,2017/2017,29/9/2017,PERSERU SERUI,AREMA FC,2.0,0.0,1.0,0.0
234,2017/2017,29/9/2017,BHAYANGKARA FC,BALI UNITED,3.0,2.0,1.0,2.0
235,2017/2017,30/9/2017,MITRA KUKAR,SRIWIJAYA FC,2.0,0.0,0.0,0.0
236,2017/2017,30/9/2017,PERSELA LAMONGAN,GRESIK UNITED,7.0,1.0,3.0,0.0
237,2017/2017,30/9/2017,PERSIJA JAKARTA,PERSIKABO 1973,4.0,1.0,2.0,1.0
238,2017/2017,1/10/2017,PERSIPURA JAYAPURA,MADURA UNITED,0.0,1.0,0.0,1.0
239,2017/2017,1/10/2017,PS BARITO PUTERA,BORNEO FC,2.0,1.0,0.0,0.0
240,2017/2017,1/10/2017,PERSIBA BALIKPAPAN,PERSIB BANDUNG,2.0,2.0,0.0,1.0
241,2017/2017,2/10/2017,PSM MAKASSAR,SEMEN PADANG,4.0,0.0,2.0,0.0
242,2017/2017,6/10/2017,PERSIPURA JAYAPURA,PERSELA LAMONGAN,2.0,1.0,1.0,0.0
243,2017/2017,6/10/2017,SEMEN PADANG,MADURA UNITED,0.0,0.0,0.0,0.0
244,2017/2017,7/10/2017,GRESIK UNITED,MITRA KUKAR,2.0,4.0,2.0,1.0
245,2017/2017,7/10/2017,SRIWIJAYA FC,PERSIJA JAKARTA,1.0,0.0,0.0,0.0
